Release 14.7 - par P.20131013 (lin64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Mon Dec  9 12:25:32 2013


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       virtex_55_map.ncd
OUTPUT FILE:      virtex_55_pad.txt
PART TYPE:        xc4vsx55
SPEED GRADE:      -12
PACKAGE:          ff1148

Pinout by Pin Number:

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name            |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|A12       |           |         |VCCO_6              |         |           |6             |          |         |           |         |any******|          |           |                |
|A13       |           |IOBS     |IO_L17N_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|A14       |           |IOBM     |IO_L17P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|A15       |           |LOWCAPIOB|IO_L24P_LC_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|A16       |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|A17       |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|A18       |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|A19       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|A20       |           |LOWCAPIOB|IO_L17N_CC_LC_1     |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|A21       |           |IOBS     |IO_L21N_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|A22       |           |         |VCCO_5              |         |           |5             |          |         |           |         |any******|          |           |                |
|A23       |           |IOBS     |IO_L1N_5            |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|A24       |           |IOBM     |IO_L3P_5            |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|A25       |           |IOBS     |IO_L3N_5            |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|A26       |           |IOBM     |IO_L2P_5            |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|A27       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|A28       |           |IOBM     |IO_L14P_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|A29       |           |IOBS     |IO_L14N_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|A30       |           |IOBM     |IO_L18P_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|A31       |           |LOWCAPIOB|IO_L24P_CC_LC_5     |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|A32       |           |         |VCCO_5              |         |           |5             |          |         |           |         |any******|          |           |                |
|A33       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AA1       |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|AA2       |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|AA3       |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|AA4       |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|AA5       |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|AA6       |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|AA7       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AA8       |           |LOWCAPIOB|IO_L8N_CC_LC_12     |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AA9       |           |LOWCAPIOB|IO_L8P_CC_LC_12     |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AA10      |           |         |VCCAUX              |         |           |              |          |         |           |         |2.5      |          |           |                |
|AA11      |           |IOBS     |IO_L3N_12           |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AA12      |           |         |VCCO_12             |         |           |12            |          |         |           |         |any******|          |           |                |
|AA13      |           |IOBS     |IO_L5N_12           |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AA15      |           |IOBS     |IO_L13N_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AA16      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AA17      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AA18      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AA19      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AA20      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AA22      |           |         |VCCO_11             |         |           |11            |          |         |           |         |any******|          |           |                |
|AA23      |           |IOBM     |IO_L17P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AA24      |           |IOBS     |IO_L17N_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AA25      |           |LOWCAPIOB|IO_L9P_CC_LC_11     |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AA26      |           |LOWCAPIOB|IO_L9N_CC_LC_11     |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AA27      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AA28      |           |IOBM     |IO_L1P_11           |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AA29      |           |IOBS     |IO_L1N_11           |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AA30      |           |IOBS     |IO_L3N_11           |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AA31      |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|AA32      |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|AA33      |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|AA34      |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|AB1       |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|AB2       |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|AB3       |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|AB4       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AB5       |           |IOBS     |IO_L1N_12           |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AB6       |           |IOBM     |IO_L1P_12           |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AB7       |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AB8       |           |IOBS     |IO_L12N_VREF_12     |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AB9       |           |         |VCCO_12             |         |           |12            |          |         |           |         |any******|          |           |                |
|AB10      |           |LOWCAPIOB|IO_L25N_CC_LC_12    |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AB11      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AB12      |           |IOBS     |IO_L29N_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AB13      |           |IOBM     |IO_L29P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AB14      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AB15      |           |LOWCAPIOB|IO_L2N_D12_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB16      |           |LOWCAPIOB|IO_L14N_GC_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB17      |           |LOWCAPIOB|IO_L14P_GC_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB18      |           |LOWCAPIOB|IO_L9N_GC_CC_LC_2   |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB19      |           |         |VCCO_2              |         |           |2             |          |         |           |         |any******|          |           |                |
|AB20      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AB21      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AB22      |           |IOBM     |IO_L29P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AB23      |           |IOBS     |IO_L29N_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AB24      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AB25      |           |IOBM     |IO_L20P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AB26      |           |IOBS     |IO_L20N_VREF_11     |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AB27      |           |         |VCCAUX              |         |           |              |          |         |           |         |2.5      |          |           |                |
|AB28      |           |IOBS     |IO_L11N_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AB29      |           |         |VCCO_11             |         |           |11            |          |         |           |         |any******|          |           |                |
|AB30      |           |IOBM     |IO_L3P_11           |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AB31      |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|AB32      |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|AB33      |           |         |NC                  |         |           |              |          |         |           |         |         |          |           |                |
|AB34      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AC1       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AC2       |           |IOBS     |IO_L2N_12           |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AC3       |           |IOBM     |IO_L2P_12           |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AC4       |           |IOBS     |IO_L6N_12           |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AC5       |           |IOBM     |IO_L6P_12           |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AC6       |           |         |VCCO_12             |         |           |12            |          |         |           |         |any******|          |           |                |
|AC7       |           |IOBM     |IO_L12P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AC8       |           |IOBS     |IO_L17N_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AC9       |           |IOBM     |IO_L17P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AC10      |           |LOWCAPIOB|IO_L25P_CC_LC_12    |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AC11      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AC12      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AC13      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AC14      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AC15      |           |LOWCAPIOB|IO_L2P_D13_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AC16      |           |         |VCCO_2              |         |           |2             |          |         |           |         |any******|          |           |                |
|AC17      |           |LOWCAPIOB|IO_L12N_GC_VREF_LC_2|UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AC18      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AC19      |           |LOWCAPIOB|IO_L9P_GC_CC_LC_2   |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AC20      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AC21      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AC22      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AC23      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AC24      |           |         |VCCAUX              |         |           |              |          |         |           |         |2.5      |          |           |                |
|AC25      |           |IOBM     |IO_L23P_VRN_11      |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AC26      |           |         |VCCO_11             |         |           |11            |          |         |           |         |any******|          |           |                |
|AC27      |           |IOBS     |IO_L19N_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AC28      |           |IOBM     |IO_L11P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AC29      |           |IOBM     |IO_L7P_11           |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AC30      |           |IOBS     |IO_L7N_11           |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AC31      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AC32      |           |IOBM     |IO_L6P_11           |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AC33      |           |IOBS     |IO_L6N_11           |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AC34      |           |LOWCAPIOB|IO_L8N_CC_LC_11     |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AD1       |           |IOBS     |IO_L4N_VREF_12      |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AD2       |           |IOBM     |IO_L4P_12           |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AD3       |           |         |VCCO_12             |         |           |12            |          |         |           |         |any******|          |           |                |
|AD4       |           |IOBS     |IO_L14N_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AD5       |           |IOBS     |IO_L11N_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AD6       |           |IOBM     |IO_L11P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AD7       |           |LOWCAPIOB|IO_L24N_CC_LC_12    |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AD8       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AD9       |           |IOBS     |IO_L4N_VREF_8       |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AD10      |           |IOBM     |IO_L4P_8            |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AD11      |           |         |VCCAUX              |         |           |              |          |         |           |         |2.5      |          |           |                |
|AD12      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AD13      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AD14      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AD15      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AD16      |           |LOWCAPIOB|IO_L10P_GC_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AD17      |           |LOWCAPIOB|IO_L12P_GC_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AD18      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AD19      |           |LOWCAPIOB|IO_L23P_VRN_LC_2    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AD20      |           |LOWCAPIOB|IO_L17N_LC_2        |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AD21      |           |LOWCAPIOB|IO_L17P_LC_2        |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AD22      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AD23      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AD24      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AD25      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AD26      |           |IOBS     |IO_L23N_VRP_11      |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AD27      |           |IOBM     |IO_L19P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AD28      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AD29      |           |IOBS     |IO_L15N_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AD30      |           |IOBM     |IO_L12P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AD31      |           |IOBS     |IO_L12N_VREF_11     |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AD32      |           |IOBS     |IO_L10N_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AD33      |           |         |VCCO_11             |         |           |11            |          |         |           |         |any******|          |           |                |
|AD34      |           |LOWCAPIOB|IO_L8P_CC_LC_11     |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AE1       |           |IOBS     |IO_L7N_12           |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AE2       |           |IOBS     |IO_L10N_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AE3       |           |IOBM     |IO_L10P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AE4       |           |IOBM     |IO_L14P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AE5       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AE6       |           |IOBS     |IO_L19N_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AE7       |           |LOWCAPIOB|IO_L24P_CC_LC_12    |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AE8       |           |IOBS     |IO_L27N_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AE9       |           |IOBS     |IO_L20N_VREF_8      |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AE10      |           |         |VCCO_8              |         |           |8             |          |         |           |         |any******|          |           |                |
|AE11      |           |IOBM     |IO_L26P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AE12      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AE13      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AE14      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AE15      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AE16      |           |LOWCAPIOB|IO_L6N_GC_LC_4      |UNUSED   |           |4             |          |         |           |         |         |          |           |                |
|AE17      |           |LOWCAPIOB|IO_L6P_GC_LC_4      |UNUSED   |           |4             |          |         |           |         |         |          |           |                |
|AE18      |           |LOWCAPIOB|IO_L1N_GC_LC_4      |UNUSED   |           |4             |          |         |           |         |         |          |           |                |
|AE19      |           |LOWCAPIOB|IO_L23N_VRP_LC_2    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AE20      |           |         |VCCO_2              |         |           |2             |          |         |           |         |any******|          |           |                |
|AE21      |           |LOWCAPIOB|IO_L7P_D3_LC_2      |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AE22      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AE23      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AE24      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AE25      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AE26      |           |IOBS     |IO_L3N_7            |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AE27      |           |IOBS     |IO_L2N_7            |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AE28      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AE29      |           |IOBM     |IO_L15P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AE30      |           |         |VCCO_11             |         |           |11            |          |         |           |         |any******|          |           |                |
|AE31      |           |IOBS     |IO_L16N_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AE32      |           |IOBM     |IO_L10P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AE33      |           |IOBM     |IO_L5P_11           |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AE34      |           |IOBS     |IO_L5N_11           |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AF1       |           |IOBM     |IO_L7P_12           |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AF2       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AF3       |           |IOBS     |IO_L18N_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AF4       |           |IOBS     |IO_L20N_VREF_12     |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AF5       |           |IOBM     |IO_L20P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AF6       |           |IOBM     |IO_L19P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AF7       |           |         |VCCO_12             |         |           |12            |          |         |           |         |any******|          |           |                |
|AF8       |           |IOBM     |IO_L27P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AF9       |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AF10      |           |IOBM     |IO_L20P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AF11      |           |IOBS     |IO_L26N_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AF12      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AF13      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AF14      |           |LOWCAPIOB|IO_L6P_D5_LC_2      |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AF15      |           |LOWCAPIOB|IO_L10N_GC_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AF16      |           |LOWCAPIOB|IO_L2N_GC_LC_4      |UNUSED   |           |4             |          |         |           |         |         |          |           |                |
|AF17      |           |         |VCCO_4              |         |           |4             |          |         |           |         |any******|          |           |                |
|AF18      |           |LOWCAPIOB|IO_L1P_GC_LC_4      |UNUSED   |           |4             |          |         |           |         |         |          |           |                |
|AF19      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AF20      |           |LOWCAPIOB|IO_L5N_D6_LC_2      |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AF21      |           |LOWCAPIOB|IO_L7N_D2_LC_2      |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AF22      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AF23      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AF24      |           |IOBS     |IO_L21N_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AF25      |           |         |VCCAUX              |         |           |              |          |         |           |         |2.5      |          |           |                |
|AF26      |           |IOBM     |IO_L3P_7            |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AF27      |           |         |VCCO_7              |         |           |7             |          |         |           |         |any******|          |           |                |
|AF28      |           |IOBM     |IO_L2P_7            |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AF29      |           |LOWCAPIOB|IO_L24P_CC_LC_11    |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AF30      |           |LOWCAPIOB|IO_L24N_CC_LC_11    |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AF31      |           |IOBM     |IO_L16P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AF32      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AF33      |           |IOBM     |IO_L14P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AF34      |           |IOBS     |IO_L14N_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AG1       |           |IOBS     |IO_L16N_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AG2       |           |IOBM     |IO_L16P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AG3       |           |IOBM     |IO_L18P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AG4       |           |         |VCCO_12             |         |           |12            |          |         |           |         |any******|          |           |                |
|AG5       |           |IOBS     |IO_L23N_VRP_12      |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AG6       |           |IOBM     |IO_L23P_VRN_12      |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
